key,zh,en,jp
about-us,關於我們,"About us","私たちについて"
introduce,OiO介紹,Introduce,紹介
application,使用手冊,Application,アプリケーション
other,其他,Other,その他
Paragraph-1,OiO編輯器是一個強大的編輯平台，結合了GPS技術、線上內容、互動機制、物聯網設備、雲端運算、人工智慧和電子商務，實現更智慧和互動的城市設計。,"OiO Editor is a powerful editing platform that combines GPS technology, online content, interactive mechanisms, IoT devices, cloud computing, artificial intelligence, and e-commerce to achieve smarter and interactive urban design.","OiOエディターは、GPS技術、オンラインコンテンツ、インタラクティブなメカニズム、IoTデバイス、クラウドコンピューティング、人工知能、電子商取引を統合した強力な編集プラットフォームであり、よりスマートでインタラクティブな都市設計を実現します。"
title1,"OiO 陪你一起旅遊","OiO travels with you","OiO はあなたと一緒に旅します"
OiO-int-text-1,點開OiO選擇導覽書,"Select a guide","ガイドブックを選ぶ"
OiO-int-text-2,跟著AR導覽至景點,"Follow the AR tour","AR ガイド付きツアーのアトラクション"
OiO-int-text-3,點擊景點進行介紹,"Click for introduction","クリックして紹介"
OiO-int-text-4,手機掃描景點跳出內容,"Scan attractions with your phone","携帯電話でアトラクションをスキャン"
OiO-int-text-5,靠近店家推播優惠券,"Nearby stores promote coupons","店舗近くでクーポンを宣伝する"
OiO-int-text-6,返家後仍可打開電子書回味,"Open e-book review","電子書籍のレビューを開く"
OiO-int-1,"漫步街頭，手機輕鬆開啟 OiO APP 電子導覽書，隨著抵達景點，耳機中傳來專屬的導覽聲音。想更深入了解？只需點擊即獲更多詳情。OiO大地編輯器為你打造個人化的沉浸式導覽體驗，GPS 觸發機制如同專屬導遊，帶你發現在地故事與魅力。","While walking on the street, you can easily open the OiO APP electronic guide book on your mobile phone. As you arrive at the attraction, the exclusive guide voice comes from the headphones.Want to learn more? Just click for more details.This app creates a personalized, immersive tour experience for you.","街を歩いているときに、携帯電話で OiO APP 電子ガイドブックを簡単に開くことができます。観光スポットに到着すると、ヘッドフォンから専用のガイドの音声が流れます。もっと詳しく知りたいですか? クリックして詳細をご覧ください。このアプリは、パーソナライズされた没入型のツアー体験を実現します。"
OiO-int-2,"您也可以離線享受 AR 實景引導和直覺的方向指引，讓探索更加順暢，無論走到哪都像有專屬嚮導陪伴","You can also enjoy AR real-life guidance and intuitive direction guidance offline, making exploration smoother and more immersive.","また、AR によるリアルな案内や直感的な方向案内をオフラインでも楽しむことができ、どこに行っても専用のガイドが同行しているかのような臨場感あふれる探索が可能になります。"
OiO-int-3,"讓旅程變得更特別！GPS觸發機制像你的專屬導遊，隨時為你揭開每個角落的故事，帶來最在地、最貼心的沉浸式導覽體驗！","Make the trip even more special! The GPS trigger mechanism is like your exclusive tour guide, revealing the stories of every corner for you at any time, bringing you the most local and intimate immersive tour experience!","旅をさらに特別なものにしましょう！ GPS トリガー メカニズムは、専属のツアー ガイドのようなもので、いつでもあらゆる場所のストーリーを明らかにし、最もローカルで親密な没入型ツアー体験をもたらします。"
OiO-int-4,"站在景點前，打開 OiO APP，對準景點拍張照，瞬間解鎖隱藏內容！比如對著台北 101 拍攝，就能看到跨年煙火綻放的精彩畫面，還有背後的故事與歷史，一秒穿越時空，體驗地標的變遷！","Stand in front of the attraction, open the OiO APP, take a photo at the attraction, and instantly unlock the hidden content! For example, if you shoot against Taipei 101, you can see the wonderful scenes of New Year’s Eve fireworks, as well as historical stories, and experience the changes of landmarks!","アトラクションの前に立って、OiO APP を開き、アトラクションで写真を撮ると、すぐに隠されたコンテンツのロックが解除されます。たとえば、台北101を背景に撮影すると、大晦日の花火の素晴らしいシーンだけでなく、その背後にある物語や歴史を見ることができ、1秒で時空を移動し、ランドマークの変化を体験できます。"
OiO-int-5,"鄰近的 OiO 用戶探索周圍時，收到推播推薦，輕鬆發現好店，促進消費！回家後也不無聊，打開商家電子書，線上購物超方便，還能透過更新獲取最新優惠資訊！"," Neighboring OiO users will receive push recommendations when exploring their surroundings, making it easy to discover good stores and promote consumption! You won’t be bored after returning home. You can open the merchant’s e-book and shop online. You can also get the latest discount information through updates!","近隣の OiO ユーザーは、周囲を探索するときにプッシュ推奨情報を受け取るため、良い店舗を簡単に見つけて消費を促進できます。帰宅後も退屈せずに、加盟店の電子書籍を開いたり、最新の割引情報を入手したりできます。"
OiO-int-6,"讓人們在旅途中開心學習，透過互動式的教育資源，探索更多有趣的知識！無論是歷史、文化，還是自然奇觀，都能生動呈現，讓學習變得像冒險一樣有趣！回家後還能打開電子書，重溫這趟奇妙的學習旅程，隨時隨地繼續探索新知識！","Let people learn happily on the go, and make learning as fun as adventure through interactive educational resources! After returning home, you can open the e-book, relive this wonderful learning journey, and continue to explore new knowledge anytime, anywhere!","インタラクティブな教育リソースを通じて、旅行中に楽しく学び、より興味深い知識を探求しましょう。学習を冒険のように楽しくしましょう！家に帰ったら電子書籍を開いて、この素晴らしい学習の旅を追体験してください。"
title2,關於OiO大地編輯器,"About OiO Editor","OiOについて"
Paragraph-introduce-part1-1,OiO編輯器是一個超強的城市設計平台，將GPS、互動內容、物聯網、雲端、AI和電子商務融合在一起，讓城市生活更智慧、更有趣！透過GPS，所有資訊和內容都能精準地帶到你身邊，無論是規劃路線、尋找商店或是享受即時優惠，OiO都能為你提供便捷與創新的體驗讓你隨時探索新驚喜。,"OiO Editor is a powerful urban design platform that provides you with an innovative experience, integrating GPS, interactive content, IoT, cloud, AI, and e-commerce to make urban life smarter! With GPS, you can explore new surprises in the city at any time.","OiOエディターは、GPS、インタラクティブコンテンツ、IoT、クラウド、AI、電子商取引を統合した強力な都市設計プラットフォームであり、都市生活をよりスマートで楽しいものにします！ GPS技術を活用し、いつでもどこでも都市の新しい驚きを探索できます。面白い旅を楽しんでくださいね。"
illustration-1-1,我想了解更多OiO可以做甚麼,"I want to know more about what OiO can do","OiOでできることをもっと知りたい"
illustration-1-2,OiO包含多方位的功能!,"OiO includes a wide range of features!","OiOには機能が満載です！"
Paragraph-introduce-part1-2,OiO還能讓城市設備智慧協同運作，提高效率，隨時同步和儲存資料，讓你隨手查看。AI根據你的需求提供個性化內容，並分析數據來優化城市管理。商家也能輕鬆開設網店，帶動城市經濟發展，，促進商業創新和居民互動，提升整體生活品質。,"OiO also enables city devices to operate intelligently and collaboratively, improve efficiency, and synchronize and store data at any time. Artificial intelligence optimizes city management and provides personalized content and analysis.","OiOは都市の設備をインテリジェントに協調運用し、効率を向上させ、データをリアルタイムで同期・保存できます。AIが個別に最適化されたコンテンツと分析を提供し、都市管理を最適化します。ビジネスオーナーは簡単にオンラインストアを開設し、経済発展を促進できます。"
Paragraph-introduce-part2,OiO是一個結合GPS、AR、AI等技術的智慧城市平台，提供互動式導覽和個性化內容，讓使用者透過手機探索城市、享受沉浸式體驗。,"OiO is a platform that combines GPS, AR, and AI to provide interactive tours and personalized content, allowing you to explore the city through your mobile phone.","OiOはGPS、AR、AIを組み合わせたプラットフォームであり、インタラクティブなツアーやパーソナライズされたコンテンツを提供し、スマートフォンを通じて都市を探索できます。"
feature-item-1,離線GPS地圖,"Offline GPS","オフラインGPS"
feature-item-2,AR實景方位,"AR real scene","AR現実の風景"
feature-item-3,多語言互動內容,"Aultilingual","多言語"
Paragraph-introduce-part3,OiO不僅促進了商業行銷和數位教育，也透過互動式導覽和沉浸式體驗，讓使用者在探索城市的同時，享受無窮的樂趣。,"OiO promotes business marketing and digital education, and also allows users to enjoy endless fun while exploring the city.","OiOはビジネスマーケティングとデジタル教育を促進するだけでなく、インタラクティブなツアーを通じて都市を探索しながら無限の楽しみを提供します。"
title3,"OiO APP操作介紹","Operation Introduction","OiO APP操作紹介"
text-User-Manual,"使用說明手冊 (User-Manual.PDF)"","User Manual(User-Manual.PDF)","ユーザーマニュアル(User-Manual.PDF)"
Phone-image-mobile,img/mobile-Phone.png,"img/mobile-Phone-EN.png","img/mobile-Phone-JP.png"
introduceA-text,點擊景點即可觀看更深入的景點介紹，豐富旅遊體驗!!,"Click to watch the introduction and enrich your travel experience!!","スポットをタップすると、より詳細な紹介が表示され、旅行体験が充実します!!"
introduceB-text,為遊客提供個人沉浸式導覽體驗，GPS觸發機制就像是有專屬導遊提供在地化、專人化的導覽,"The GPS triggering mechanism is like providing tourists with a guided tour with their own guide","GPSトリガーメカニズムは、専属ガイドによる観光案内のようなものです"
introduceC-text,啟用AI辨識，AI 場景建物識別，跳出該景點的內容，樂趣加倍!,"Enable AI to recognize buildings and jump out of the attraction's content, doubling the fun!","AIを有効にして建物を認識し、観光スポットのコンテンツを表示することで楽しさが倍増します!"
illustration-2-1,我也想自己做一本電子導覽書，我能夠自己製作嗎？,"Can I also make my own e-guide book?","電子ガイドブックを作ることはできますか？"
illustration-2-2,你當然可以!OiO大地編輯器也提供了編輯平台讓你編輯,"Yes! OiO also provides an editing platform","もちろん！ OiO は編集プラットフォームも提供します"
title4,"OiO編輯器自定義","Editing Platform","編集プラットフォーム"
Paragraph-OiO-editing-platform-1,店家不僅可以輕鬆更新電子書中的商品資訊，還能設置優惠券，讓顧客隨時享有超值折扣！更棒的是，他們可以隨時在商品介紹中新增或移除多媒體互動檔案，像是影片、圖片或動畫，讓顧客沉浸在視覺與感官的雙重享受中。這不僅讓商店內容保持新鮮有趣，還能更好地吸引顧客目光，提升購物體驗！,"Stores can update current products and set coupons in the e-book, and can also add or remove multimedia interactive files in the introduction at any time.","ストアは現在の製品を更新したり、電子書籍にクーポンを設定したりできます。また、いつでも紹介文にマルチメディア インタラクティブ ファイルを追加または削除することもできます。"
Paragraph-OiO-editing-platform-2,當鄰近的OiO 用戶進行周圍探索的時候被推播吸引，便可促進消費，當遊客返家之後，仍可開啟商家電子書進行線上消費，或是透過更新書籍獲取新的店家優惠資訊。,"When OiO users are attracted by push notifications, consumption can be promoted. After returning home, tourists can still open the merchant's e-book to make online purchases or update to obtain new discount information.","近くの OiO ユーザーが周囲を探索しているときにプロモーションに惹かれた場合、旅行者が家に帰った後も、販売者の電子書籍を開いてオンラインで消費したり、書籍を更新して新しい店舗の割引情報を入手したりできます。"
Editing-PlatformA,"右邊區塊可編輯電子書互動內容，無須程式語言即可完成互動內容","The right area can edit the interactive content of the e-book","右側のブロックでは、電子書籍のインタラクティブなコンテンツを編集できます"
Editing-PlatformB,"你可以拖曳圖片加入電子書，打造如同APP一般的互動書","You can drag and drop images to add to the e-book, just like in an APP","アプリと同じように、写真をドラッグして電子書籍に追加できます"
Editing-PlatformC,"AI 辨識輔助 GPS 精準觸發，避免重疊並提供準確資訊!透過 GPS 自動觸發多媒體和 URL，提供無需操作的互動體驗。","AI recognition and GPS-assisted precise triggering provide a zero-operation interactive experience.","AI 認識は GPS の正確なトリガーを支援し、操作不要のインタラクティブなエクスペリエンスを提供します。"
illustration-3,如果你想嘗試製作電子書請聯絡我們!,"If you want to try creating an e-book please contact us!","電子書籍を作ってみたい方はぜひお問い合わせください！"
title5,關於我們,"About Us","私たちについて"
Paragraph-about-us-1,7Hz載動科技媒體股份有限公司是一間自主開發智慧城市萬業應用工具與系統的軟體暨服務整合公司。,"7Hz design Inc. is a software and service integration company that develops smart city application tools and systems.","7Hz design Inc. は、スマートシティ アプリケーション ツールとシステムを独自に開発するソフトウェアとサービスの統合会社です。"
Paragraph-about-us-2,大地編輯器於2023年法國巴黎博覽會上獲得發明獎金牌，並積極與提供觀光、文史、博物館、商圈單位和內容創作者合作，建立虛實整合的服務體驗。,"OiO Editor won the Gold Award for Invention at the 2023 Paris World Expo in France, and actively built a service experience that integrates virtual and real.","OiO エディターは、2023 年にフランスで開催されたパリ万博で発明金メダルを受賞しており、バーチャルとリアルの統合サービス エクスペリエンスを積極的に構築しています。。"
title6,"OiO 現有作品推薦","Recommended Works","既存作品のおすすめ"
title7,你好奇的問題,"Answer For You","気になる質問"
FAQ,常見問題,"FAQ","よくある質問"
Detailed-user-manual,詳細使用手冊,"Detailed user manual","詳細ユーザーマニュアル"
Privacy-statement,隱私權說明,"Privacy statement","プライバシーポリシー"
Download,如何下載 OiO APP？,"How to download OiO APP?","OiOアプリのダウンロード方法は？"
Contact-us,聯絡我們,"Contact us","お問い合わせ"
Phone,電話: 02-21001400,"Tel: 02-21001400","電話: 02-21001400"
Address,地址: 台北市中山區吉林路218巷19號1樓,"Address: 1st Floor, No. 19, Lane 218, Jilin Road, Zhongshan District, Taipei City","住所: 台北市中山区吉林路218巷19号1階"
question-1,這個應用程式是免費的嗎？APP是免費下載的，內含的電子內容有部分需付費體驗。,"Is this app free? The APP is free to download, and some of the electronic content it contains requires payment.","このアプリは無料ですか？アプリは無料でダウンロードできますが、一部の電子コンテンツは有料です。"
answer-1,"APP是免費下載的，內含的電子內容有部分需付費體驗。","The APP is free to download, and some of the electronic content it contains requires payment.","アプリは無料でダウンロードできますが、一部の電子コンテンツは有料です。"
question-2,一定要開啟GPS授權嗎？,"Do I have to turn on GPS authorization?","GPSの許可をオンにする必要がありますか？"
answer-2,是的，多數電子內容會使用GPS觸發，讓您有專屬導覽員般的體驗。,"Yes, most electronic content will be triggered by GPS, giving you an exclusive tour guide-like experience.","はい、ほとんどの電子コンテンツはGPSによってトリガーされ、専属ガイドのような体験ができます。"
question-3,電子內容一定要下載嗎？,"Do electronic contents have to be downloaded?",電子コンテンツはダウンロードする必要がありますか？
answer-3,為使您的使用體驗盡可能不被網路連線問題所影響，我們的電子內容都需要下載後才能使用。,"In order to ensure that your user experience is not affected by network connection problems, our electronic contents need to be downloaded before use.",ネットワーク接続の問題による影響を防ぐために、電子コンテンツは使用前にダウンロードする必要があります。
question-4,在沒有網路的狀態下還能體驗電子內容嗎？,"Can I still experience electronic content without the Internet?",インターネットがない状態でも電子コンテンツを体験できますか？
answer-4,在開啟電子內容後，只要不關閉APP，仍可進行非連網的應用操作，包含但不限於GPS觸發、辨識觸發之圖像、音檔、AR方位指引等電子內容。,"After opening the electronic content, as long as the APP is not closed, you can still perform non-connected application operations, including but not limited to GPS-triggered, recognition-triggered images, audio files, AR orientation guidance, and other electronic content.",電子コンテンツを開いた後、アプリを閉じなければ、GPSトリガー、画像認識トリガー、音声ファイル、ARナビゲーションなどのオフライン機能を利用できます。
question-5,已經下載的電子內容能不能移除？,"Can the downloaded electronic content be removed?",ダウンロードした電子コンテンツを削除できますか？
answer-5,可以移除，並可在已購入電子書清單中重新下載，但內建的觸發紀錄會於移除時一併刪除，GPS觸發將會重置，請務必確認是否刪除。,"It can be removed and re-downloaded in the purchased e-book list, but the built-in trigger record will be deleted when removed, and the GPS trigger will be reset. Please confirm whether to delete it.",削除可能で、購入済みの電子書籍リストから再ダウンロードできますが、削除時にトリガー履歴が消去され、GPSトリガーがリセットされます。削除するかどうかを確認してください。
question-6,為什麼在Google Play 及 App store 找不到 OiO 應用程式下載？,"Why can't I find the OiO app download on Google Play and App Store?",Google PlayやApp StoreでOiOアプリのダウンロードが見つからないのはなぜですか？
answer-6,請先確認手機作業系統是否已升級至 Android13 / iOS 11 以上，若系統已達最低作業環境需求仍未找到OiO App，請來信與我們聯繫，我們會協助您排除問題。,"Please first confirm whether the mobile operating system has been upgraded to Android 13 / iOS 11 or above. If the system has met the minimum operating environment requirements and still cannot find the OiO App, please contact us by email and we will help you troubleshoot the problem.",まず、スマートフォンのOSがAndroid 13 / iOS 11以上にアップグレードされているか確認してください。システム要件を満たしているにも関わらずOiOアプリが見つからない場合は、メールでお問い合わせください。問題解決をサポートいたします。

